what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314235951375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314235951812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314235951812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314235951953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236060296
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314236060968
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1314236067531
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314236075359
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1314236075687
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314236077375
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1314236096031
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1314236099375
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1314236101078
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1314236101296
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314236106593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236265812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236267593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236267984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236267984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236268343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236548593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314236585406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314237177562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314237345796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314237452078
